"","season","position","water_year","Probability_Threshold","value"
"1","non_critical","MC",2010,"Low",10.6176504167142
"2","critical","MC",2010,"Low",10.6176504167142
"3","non_critical","MC",2011,"Low",3.16484517304189
"4","critical","MC",2011,"Low",3.16484517304189
"5","non_critical","MC",2012,"Low",3.92694063926941
"6","critical","MC",2012,"Low",3.92694063926941
"7","non_critical","MC",2013,"Low",1.60958904109589
"8","critical","MC",2013,"Low",1.60958904109589
"9","non_critical","MC",2014,"Low",3.162100456621
"10","critical","MC",2014,"Low",3.162100456621
"11","non_critical","MC",2015,"Low",2.7436247723133
"12","critical","MC",2015,"Low",2.7436247723133
"13","non_critical","MC",2016,"Low",6.14155251141552
"14","critical","MC",2016,"Low",6.14155251141552
"15","non_critical","MC",2010,"Medium",4.4297294211668
"16","critical","MC",2010,"Medium",4.4297294211668
"17","non_critical","MC",2011,"Medium",1.74180327868852
"18","critical","MC",2011,"Medium",1.74180327868852
"19","non_critical","MC",2012,"Medium",1.81506849315068
"20","critical","MC",2012,"Medium",1.81506849315068
"21","non_critical","MC",2013,"Medium",1.01598173515982
"22","critical","MC",2013,"Medium",1.01598173515982
"23","non_critical","MC",2014,"Medium",1.67808219178082
"24","critical","MC",2014,"Medium",1.67808219178082
"25","non_critical","MC",2015,"Medium",1.38888888888889
"26","critical","MC",2015,"Medium",1.38888888888889
"27","non_critical","MC",2016,"Medium",3.49315068493151
"28","critical","MC",2016,"Medium",3.49315068493151
"29","non_critical","MC",2010,"High",3.28804658065989
"30","critical","MC",2010,"High",3.28804658065989
"31","non_critical","MC",2011,"High",1.28642987249545
"32","critical","MC",2011,"High",1.28642987249545
"33","non_critical","MC",2012,"High",1.15296803652968
"34","critical","MC",2012,"High",1.15296803652968
"35","non_critical","MC",2013,"High",0.684931506849315
"36","critical","MC",2013,"High",0.684931506849315
"37","non_critical","MC",2014,"High",1.15296803652968
"38","critical","MC",2014,"High",1.15296803652968
"39","non_critical","MC",2015,"High",0.808287795992714
"40","critical","MC",2015,"High",0.808287795992714
"41","non_critical","MC",2016,"High",2.45433789954338
"42","critical","MC",2016,"High",2.45433789954338
"43","non_critical","MC",2010,"Low.Seasonal",19.2351728875658
"44","critical","MC",2010,"Low.Seasonal",2.04918032786885
"45","non_critical","MC",2011,"Low.Seasonal",4.98633879781421
"46","critical","MC",2011,"Low.Seasonal",1.34335154826958
"47","non_critical","MC",2012,"Low.Seasonal",7.28021978021978
"48","critical","MC",2012,"Low.Seasonal",0.591985428051002
"49","non_critical","MC",2013,"Low.Seasonal",2.93040293040293
"50","critical","MC",2013,"Low.Seasonal",0.295992714025501
"51","non_critical","MC",2014,"Low.Seasonal",5.47161172161172
"52","critical","MC",2014,"Low.Seasonal",0.865209471766849
"53","non_critical","MC",2015,"Low.Seasonal",4.48542805100182
"54","critical","MC",2015,"Low.Seasonal",1.00182149362477
"55","non_critical","MC",2016,"Low.Seasonal",11.8360805860806
"56","critical","MC",2016,"Low.Seasonal",0.478142076502732
"57","non_critical","MC",2010,"Medium.Seasonal",8.56423173803526
"58","critical","MC",2010,"Medium.Seasonal",0.318761384335155
"59","non_critical","MC",2011,"Medium.Seasonal",2.75500910746812
"60","critical","MC",2011,"Medium.Seasonal",0.728597449908925
"61","non_critical","MC",2012,"Medium.Seasonal",3.2967032967033
"62","critical","MC",2012,"Medium.Seasonal",0.341530054644809
"63","non_critical","MC",2013,"Medium.Seasonal",1.92307692307692
"64","critical","MC",2013,"Medium.Seasonal",0.11384335154827
"65","non_critical","MC",2014,"Medium.Seasonal",3.06776556776557
"66","critical","MC",2014,"Medium.Seasonal",0.295992714025501
"67","non_critical","MC",2015,"Medium.Seasonal",2.36794171220401
"68","critical","MC",2015,"Medium.Seasonal",0.409836065573771
"69","non_critical","MC",2016,"Medium.Seasonal",6.86813186813187
"70","critical","MC",2016,"Medium.Seasonal",0.136612021857924
"71","non_critical","MC",2010,"High.Seasonal",6.45752232653996
"72","critical","MC",2010,"High.Seasonal",0.136612021857924
"73","non_critical","MC",2011,"High.Seasonal",2.0264116575592
"74","critical","MC",2011,"High.Seasonal",0.546448087431694
"75","non_critical","MC",2012,"High.Seasonal",2.06043956043956
"76","critical","MC",2012,"High.Seasonal",0.250455373406193
"77","non_critical","MC",2013,"High.Seasonal",1.30494505494505
"78","critical","MC",2013,"High.Seasonal",0.0683060109289618
"79","non_critical","MC",2014,"High.Seasonal",2.15201465201465
"80","critical","MC",2014,"High.Seasonal",0.159380692167577
"81","non_critical","MC",2015,"High.Seasonal",1.50273224043716
"82","critical","MC",2015,"High.Seasonal",0.11384335154827
"83","non_critical","MC",2016,"High.Seasonal",4.87637362637363
"84","critical","MC",2016,"High.Seasonal",0.0455373406193078
