"","season","position","water_year","Probability_Threshold","value"
"1","non_critical","MC",2010,"Low",4.7265669596986
"2","critical","MC",2010,"Low",4.7265669596986
"3","non_critical","MC",2011,"Low",1.49134790528233
"4","critical","MC",2011,"Low",1.49134790528233
"5","non_critical","MC",2012,"Low",1.68949771689498
"6","critical","MC",2012,"Low",1.68949771689498
"7","non_critical","MC",2013,"Low",0.93607305936073
"8","critical","MC",2013,"Low",0.93607305936073
"9","non_critical","MC",2014,"Low",1.54109589041096
"10","critical","MC",2014,"Low",1.54109589041096
"11","non_critical","MC",2015,"Low",1.183970856102
"12","critical","MC",2015,"Low",1.183970856102
"13","non_critical","MC",2016,"Low",3.18493150684932
"14","critical","MC",2016,"Low",3.18493150684932
"15","non_critical","LOB",2010,"Low",55.1318643680785
"16","critical","LOB",2010,"Low",55.1318643680785
"17","non_critical","LOB",2011,"Low",15.858378870674
"18","critical","LOB",2011,"Low",15.858378870674
"19","non_critical","LOB",2012,"Low",40.0114155251142
"20","critical","LOB",2012,"Low",40.0114155251142
"21","non_critical","LOB",2013,"Low",3.15068493150685
"22","critical","LOB",2013,"Low",3.15068493150685
"23","non_critical","LOB",2014,"Low",5.58219178082192
"24","critical","LOB",2014,"Low",5.58219178082192
"25","non_critical","LOB",2015,"Low",4.33743169398907
"26","critical","LOB",2015,"Low",4.33743169398907
"27","non_critical","LOB",2016,"Low",20.1141552511416
"28","critical","LOB",2016,"Low",20.1141552511416
"29","non_critical","ROB",2010,"Low",12.9695170681585
"30","critical","ROB",2010,"Low",12.9695170681585
"31","non_critical","ROB",2011,"Low",2.76639344262295
"32","critical","ROB",2011,"Low",2.76639344262295
"33","non_critical","ROB",2012,"Low",4.04109589041096
"34","critical","ROB",2012,"Low",4.04109589041096
"35","non_critical","ROB",2013,"Low",1.48401826484018
"36","critical","ROB",2013,"Low",1.48401826484018
"37","non_critical","ROB",2014,"Low",2.71689497716895
"38","critical","ROB",2014,"Low",2.71689497716895
"39","non_critical","ROB",2015,"Low",2.33378870673953
"40","critical","ROB",2015,"Low",2.33378870673953
"41","non_critical","ROB",2016,"Low",5.67351598173516
"42","critical","ROB",2016,"Low",5.67351598173516
"43","non_critical","MC",2010,"Medium",3.26521292384975
"44","critical","MC",2010,"Medium",3.26521292384975
"45","non_critical","MC",2011,"Medium",1.12704918032787
"46","critical","MC",2011,"Medium",1.12704918032787
"47","non_critical","MC",2012,"Medium",1.18721461187215
"48","critical","MC",2012,"Medium",1.18721461187215
"49","non_critical","MC",2013,"Medium",0.650684931506849
"50","critical","MC",2013,"Medium",0.650684931506849
"51","non_critical","MC",2014,"Medium",1.10730593607306
"52","critical","MC",2014,"Medium",1.10730593607306
"53","non_critical","MC",2015,"Medium",0.717213114754098
"54","critical","MC",2015,"Medium",0.717213114754098
"55","non_critical","MC",2016,"Medium",2.34018264840183
"56","critical","MC",2016,"Medium",2.34018264840183
"57","non_critical","LOB",2010,"Medium",11.0629067245119
"58","critical","LOB",2010,"Medium",11.0629067245119
"59","non_critical","LOB",2011,"Medium",2.35655737704918
