"","season","position","water_year","Probability_Threshold","value"
"1","non_critical","MC",2010,"Low",78.0796894622674
"2","critical","MC",2010,"Low",78.0796894622674
"3","non_critical","MC",2011,"Low",56.3638433515483
"4","critical","MC",2011,"Low",56.3638433515483
"5","non_critical","MC",2012,"Low",62.1232876712329
"6","critical","MC",2012,"Low",62.1232876712329
"7","non_critical","MC",2013,"Low",19.783105022831
"8","critical","MC",2013,"Low",19.783105022831
"9","non_critical","MC",2014,"Low",20.3310502283105
"10","critical","MC",2014,"Low",20.3310502283105
"11","non_critical","MC",2015,"Low",9.81329690346084
"12","critical","MC",2015,"Low",9.81329690346084
"13","non_critical","MC",2016,"Low",38.5159817351598
"14","critical","MC",2016,"Low",38.5159817351598
"15","non_critical","LOB",2010,"Low",9.60155268866309
"16","critical","LOB",2010,"Low",9.60155268866309
"17","non_critical","LOB",2011,"Low",2.26548269581056
"18","critical","LOB",2011,"Low",2.26548269581056
"19","non_critical","LOB",2012,"Low",3.00228310502283
"20","critical","LOB",2012,"Low",3.00228310502283
"21","non_critical","LOB",2013,"Low",1.3013698630137
"22","critical","LOB",2013,"Low",1.3013698630137
"23","non_critical","LOB",2014,"Low",2.3972602739726
"24","critical","LOB",2014,"Low",2.3972602739726
"25","non_critical","LOB",2015,"Low",2.03779599271403
"26","critical","LOB",2015,"Low",2.03779599271403
"27","non_critical","LOB",2016,"Low",4.76027397260274
"28","critical","LOB",2016,"Low",4.76027397260274
"29","non_critical","ROB",2010,"Low",9.65863683068843
"30","critical","ROB",2010,"Low",9.65863683068843
"31","non_critical","ROB",2011,"Low",2.26548269581056
"32","critical","ROB",2011,"Low",2.26548269581056
"33","non_critical","ROB",2012,"Low",3.05936073059361
"34","critical","ROB",2012,"Low",3.05936073059361
"35","non_critical","ROB",2013,"Low",1.31278538812785
"36","critical","ROB",2013,"Low",1.31278538812785
"37","non_critical","ROB",2014,"Low",2.3972602739726
"38","critical","ROB",2014,"Low",2.3972602739726
"39","non_critical","ROB",2015,"Low",2.03779599271403
"40","critical","ROB",2015,"Low",2.03779599271403
"41","non_critical","ROB",2016,"Low",4.80593607305936
"42","critical","ROB",2016,"Low",4.80593607305936
"43","non_critical","MC",2010,"Medium",11.736499600411
"44","critical","MC",2010,"Medium",11.736499600411
"45","non_critical","MC",2011,"Medium",2.70947176684882
"46","critical","MC",2011,"Medium",2.70947176684882
"47","non_critical","MC",2012,"Medium",3.98401826484018
"48","critical","MC",2012,"Medium",3.98401826484018
"49","non_critical","MC",2013,"Medium",1.56392694063927
"50","critical","MC",2013,"Medium",1.56392694063927
"51","non_critical","MC",2014,"Medium",2.79680365296804
"52","critical","MC",2014,"Medium",2.79680365296804
"53","non_critical","MC",2015,"Medium",2.50455373406193
"54","critical","MC",2015,"Medium",2.50455373406193
"55","non_critical","MC",2016,"Medium",5.68493150684932
"56","critical","MC",2016,"Medium",5.68493150684932
"57","non_critical","LOB",2010,"Medium",4.2813106519009
"58","critical","LOB",2010,"Medium",4.2813106519009
