"","season","position","water_year","Probability_Threshold","value"
"1","non_critical","MC",2010,"Low",73.1476195912775
"2","critical","MC",2010,"Low",73.1476195912775
"3","non_critical","MC",2011,"Low",43.7841530054645
"4","critical","MC",2011,"Low",43.7841530054645
"5","non_critical","MC",2012,"Low",65.7077625570776
"6","critical","MC",2012,"Low",65.7077625570776
"7","non_critical","MC",2013,"Low",19.0639269406393
"8","critical","MC",2013,"Low",19.0639269406393
"9","non_critical","MC",2014,"Low",15.5821917808219
"10","critical","MC",2014,"Low",15.5821917808219
"11","non_critical","MC",2015,"Low",6.77367941712204
"12","critical","MC",2015,"Low",6.77367941712204
"13","non_critical","MC",2016,"Low",25.5022831050228
"14","critical","MC",2016,"Low",25.5022831050228
"15","non_critical","LOB",2010,"Low",0
"16","critical","LOB",2010,"Low",0
"17","non_critical","LOB",2011,"Low",0
"18","critical","LOB",2011,"Low",0
"19","non_critical","LOB",2012,"Low",0
"20","critical","LOB",2012,"Low",0
"21","non_critical","LOB",2013,"Low",0
"22","critical","LOB",2013,"Low",0
"23","non_critical","LOB",2014,"Low",0
"24","critical","LOB",2014,"Low",0
"25","non_critical","LOB",2015,"Low",0
"26","critical","LOB",2015,"Low",0
"27","non_critical","LOB",2016,"Low",0
"28","critical","LOB",2016,"Low",0
"29","non_critical","ROB",2010,"Low",9.61296951706816
"30","critical","ROB",2010,"Low",9.61296951706816
"31","non_critical","ROB",2011,"Low",2.12887067395264
"32","critical","ROB",2011,"Low",2.12887067395264
"33","non_critical","ROB",2012,"Low",2.84246575342466
"34","critical","ROB",2012,"Low",2.84246575342466
"35","non_critical","ROB",2013,"Low",1.24429223744292
"36","critical","ROB",2013,"Low",1.24429223744292
"37","non_critical","ROB",2014,"Low",2.24885844748858
"38","critical","ROB",2014,"Low",2.24885844748858
"39","non_critical","ROB",2015,"Low",1.82149362477231
"40","critical","ROB",2015,"Low",1.82149362477231
"41","non_critical","ROB",2016,"Low",4.57762557077626
"42","critical","ROB",2016,"Low",4.57762557077626
"43","non_critical","MC",2010,"Medium",0.913346272405526
"44","critical","MC",2010,"Medium",0.913346272405526
"45","non_critical","MC",2011,"Medium",0.455373406193078
