"","water_year","position","Time_Period","value"
"1",2010,"MC","Annual",11.8849183696769
"2",2011,"MC","Annual",6.88752276867031
"3",2012,"MC","Annual",7.32876712328767
"4",2013,"MC","Annual",3.5958904109589
"5",2014,"MC","Annual",6.03881278538813
"6",2015,"MC","Annual",5.29371584699454
"7",2016,"MC","Annual",11.5753424657534
"8",2010,"LOB","Annual",2.00936179929216
"9",2011,"LOB","Annual",0.774134790528233
"10",2012,"LOB","Annual",0.365296803652968
"11",2013,"LOB","Annual",0.399543378995434
"12",2014,"LOB","Annual",0.627853881278539
"13",2015,"LOB","Annual",0.569216757741348
"14",2016,"LOB","Annual",1.76940639269406
"15",2010,"ROB","Annual",13.9856147962096
"16",2011,"ROB","Annual",8.23087431693989
"17",2012,"ROB","Annual",8.9041095890411
"18",2013,"ROB","Annual",4.42922374429224
"19",2014,"ROB","Annual",7.36301369863014
"20",2015,"ROB","Annual",6.47768670309654
"21",2016,"ROB","Annual",13.4132420091324
"22",2010,"MC","non_critical",22.6013281428899
"23",2011,"MC","non_critical",10.655737704918
"24",2012,"MC","non_critical",13.6446886446886
"25",2013,"MC","non_critical",6.27289377289377
"26",2014,"MC","non_critical",9.70695970695971
"27",2015,"MC","non_critical",9.01639344262295
"28",2016,"MC","non_critical",21.7948717948718
"29",2010,"LOB","non_critical",4.03022670025189
"30",2011,"LOB","non_critical",1.20673952641166
"31",2012,"LOB","non_critical",0.732600732600733
"32",2013,"LOB","non_critical",0.801282051282051
"33",2014,"LOB","non_critical",1.19047619047619
"34",2015,"LOB","non_critical",1.1384335154827
"35",2016,"LOB","non_critical",3.5485347985348
"36",2010,"ROB","non_critical",26.6315548431417
"37",2011,"ROB","non_critical",12.7504553734062
"38",2012,"ROB","non_critical",16.5979853479853
"39",2013,"ROB","non_critical",7.66941391941392
"40",2014,"ROB","non_critical",11.9276556776557
"41",2015,"ROB","non_critical",10.9289617486339
"42",2016,"ROB","non_critical",25.0915750915751
"43",2010,"MC","critical",1.22950819672131
"44",2011,"MC","critical",3.11930783242259
"45",2012,"MC","critical",1.04735883424408
"46",2013,"MC","critical",0.933515482695811
"47",2014,"MC","critical",2.39071038251366
"48",2015,"MC","critical",1.57103825136612
"49",2016,"MC","critical",1.41165755919854
"50",2010,"LOB","critical",0
"51",2011,"LOB","critical",0.341530054644809
"52",2012,"LOB","critical",0
"53",2013,"LOB","critical",0
"54",2014,"LOB","critical",0.0683060109289618
"55",2015,"LOB","critical",0
"56",2016,"LOB","critical",0
"57",2010,"ROB","critical",1.41165755919854
"58",2011,"ROB","critical",3.71129326047359
"59",2012,"ROB","critical",1.25227686703097
"60",2013,"ROB","critical",1.20673952641166
"61",2014,"ROB","critical",2.82331511839709
"62",2015,"ROB","critical",2.0264116575592
"63",2016,"ROB","critical",1.79872495446266
