"","month_year","water_year","month","season","position","Annual","n_days"
"1",2010-01-01,2010,1,"critical","LOB","days_per_month",31
"2",2010-01-01,2010,1,"critical","MC","days_per_month",29
"3",2010-01-01,2010,1,"critical","ROB","days_per_month",31
"4",2011-01-01,2011,1,"critical","LOB","days_per_month",31
"5",2011-01-01,2011,1,"critical","MC","days_per_month",27
"6",2011-01-01,2011,1,"critical","ROB","days_per_month",31
"7",2012-01-01,2012,1,"critical","LOB","days_per_month",31
"8",2012-01-01,2012,1,"critical","MC","days_per_month",31
"9",2012-01-01,2012,1,"critical","ROB","days_per_month",31
"10",2013-01-01,2013,1,"critical","LOB","days_per_month",31
"11",2013-01-01,2013,1,"critical","MC","days_per_month",29
"12",2013-01-01,2013,1,"critical","ROB","days_per_month",31
"13",2014-01-01,2014,1,"critical","LOB","days_per_month",31
"14",2014-01-01,2014,1,"critical","MC","days_per_month",5
"15",2014-01-01,2014,1,"critical","ROB","days_per_month",31
"16",2015-01-01,2015,1,"critical","LOB","days_per_month",31
"17",2015-01-01,2015,1,"critical","MC","days_per_month",2
"18",2015-01-01,2015,1,"critical","ROB","days_per_month",31
"19",2016-01-01,2016,1,"critical","LOB","days_per_month",31
"20",2016-01-01,2016,1,"critical","MC","days_per_month",24
"21",2016-01-01,2016,1,"critical","ROB","days_per_month",31
"22",2010-02-01,2010,2,"critical","LOB","days_per_month",28
"23",2010-02-01,2010,2,"critical","MC","days_per_month",26
"24",2010-02-01,2010,2,"critical","ROB","days_per_month",28
"25",2011-02-01,2011,2,"critical","LOB","days_per_month",29
"26",2011-02-01,2011,2,"critical","MC","days_per_month",27
"27",2011-02-01,2011,2,"critical","ROB","days_per_month",29
"28",2012-02-01,2012,2,"critical","LOB","days_per_month",28
"29",2012-02-01,2012,2,"critical","MC","days_per_month",28
"30",2012-02-01,2012,2,"critical","ROB","days_per_month",28
"31",2013-02-01,2013,2,"critical","LOB","days_per_month",28
"32",2013-02-01,2013,2,"critical","MC","days_per_month",27
"33",2013-02-01,2013,2,"critical","ROB","days_per_month",28
"34",2014-02-01,2014,2,"critical","LOB","days_per_month",28
"35",2014-02-01,2014,2,"critical","MC","days_per_month",1
"36",2014-02-01,2014,2,"critical","ROB","days_per_month",28
