"","water_year","Annual","Seasonal","season","position"
"1",2010,0,0,"non_critical","MC"
"2",2010,0,0,"critical","MC"
"3",2011,0,0,"non_critical","MC"
"4",2011,0,0,"critical","MC"
"5",2012,0,0,"non_critical","MC"
"6",2012,0,0,"critical","MC"
"7",2013,0,0,"non_critical","MC"
"8",2013,0,0,"critical","MC"
"9",2014,0,0,"non_critical","MC"
"10",2014,0,0,"critical","MC"
"11",2015,0.011384335154827,0.0227686703096539,"non_critical","MC"
"12",2015,0.011384335154827,0,"critical","MC"
"13",2016,0.0114155251141553,0.0228937728937729,"non_critical","MC"
"14",2016,0.0114155251141553,0,"critical","MC"
"15",2010,NA,NA,"non_critical","LOB"
"16",2010,NA,NA,"critical","LOB"
"17",2011,NA,NA,"non_critical","LOB"
"18",2011,NA,NA,"critical","LOB"
"19",2012,NA,NA,"non_critical","LOB"
"20",2012,NA,NA,"critical","LOB"
"21",2013,NA,NA,"non_critical","LOB"
"22",2013,NA,NA,"critical","LOB"
"23",2014,NA,NA,"non_critical","LOB"
"24",2014,NA,NA,"critical","LOB"
"25",2015,NA,NA,"non_critical","LOB"
"26",2015,NA,NA,"critical","LOB"
"27",2016,NA,NA,"non_critical","LOB"
"28",2016,NA,NA,"critical","LOB"
"29",2010,NA,NA,"non_critical","ROB"
"30",2010,NA,NA,"critical","ROB"
"31",2011,NA,NA,"non_critical","ROB"
"32",2011,NA,NA,"critical","ROB"
"33",2012,NA,NA,"non_critical","ROB"
"34",2012,NA,NA,"critical","ROB"
"35",2013,NA,NA,"non_critical","ROB"
"36",2013,NA,NA,"critical","ROB"
"37",2014,NA,NA,"non_critical","ROB"
"38",2014,NA,NA,"critical","ROB"
"39",2015,NA,NA,"non_critical","ROB"
"40",2015,NA,NA,"critical","ROB"
"41",2016,NA,NA,"non_critical","ROB"
"42",2016,NA,NA,"critical","ROB"
